alpha,beta,utility_func_name,vcg_price_per_credit,shapley_samples,exact_shapley_threshold,core_check_threshold,n_farmers_analyzed,random_seed,shapley_calculation_method,shapley_values_gini,core_check_performed,is_shapley_in_core,blocking_coalitions_count,vcg_num_winners,vcg_total_surplus,vcg_total_payments,vcg_payments_gini,vcg_individual_rationality_met,vcg_budget_balance,vcg_efficiency_metric,avg_shapley_utility,computation_time_sec
0.5,1.0,linear,2200.0,1000,10,15,7,24004,exact,0.14256854256854257,True,True,0,3,2588.0,17574.0,0.1639163916391639,True,4242.0,2588.0,3150332035.714286,8.499985218048096
0.5,1.0,linear,2500.0,1000,10,15,7,24004,exact,0.14256854256854257,True,True,0,3,4406.0,17574.0,0.1639163916391639,True,2424.000000000002,4406.0,3150332035.714286,8.440794229507446
0.5,1.0,logarithmic,1000.0,1000,10,15,7,24004,exact,0.14256854256854257,True,True,0,0,0.0,0.0,0.0,True,0.0,0.0,21.836607900811078,8.511920690536499
0.5,1.0,logarithmic,1300.0,1000,10,15,7,24004,exact,0.14256854256854257,True,True,0,0,0.0,0.0,0.0,True,0.0,0.0,21.836607900811078,8.502877712249756
0.5,1.0,logarithmic,1600.0,1000,10,15,7,24004,exact,0.14256854256854257,True,True,0,1,0.0,5022.0,0.0,True,558.0,0.0,21.836607900811078,8.437597751617432
0.5,1.0,logarithmic,1900.0,1000,10,15,7,24004,exact,0.14256854256854257,True,True,0,2,967.0,8180.0,0.1821515892420538,True,409.0,967.0,21.836607900811078,8.677278518676758
0.5,1.0,logarithmic,2200.0,1000,10,15,7,24004,exact,0.14256854256854257,True,True,0,3,2588.0,17574.0,0.1639163916391639,True,4242.0,2588.0,21.836607900811078,8.51557469367981
0.5,1.0,logarithmic,2500.0,1000,10,15,7,24004,exact,0.14256854256854257,True,True,0,3,4406.0,17574.0,0.1639163916391639,True,2424.000000000002,4406.0,21.836607900811078,8.618945360183716
0.7,0.2,linear,1000.0,1000,10,15,7,24004,exact,0.14256854256854257,True,True,0,0,0.0,0.0,0.0,True,0.0,0.0,630079135.7142857,8.585851669311523
0.7,0.2,linear,1300.0,1000,10,15,7,24004,exact,0.14256854256854257,True,True,0,0,0.0,0.0,0.0,True,0.0,0.0,630079135.7142857,8.551953077316284
0.7,0.2,linear,1600.0,1000,10,15,7,24004,exact,0.14256854256854257,True,True,0,1,0.0,5022.0,0.0,True,558.0,0.0,630079135.7142857,8.605552434921265
0.7,0.2,linear,1900.0,1000,10,15,7,24004,exact,0.14256854256854257,True,True,0,2,967.0,8180.0,0.1821515892420538,True,409.0,967.0,630079135.7142857,9.106834411621094
0.7,0.2,linear,2200.0,1000,10,15,7,24004,exact,0.14256854256854257,True,True,0,3,2588.0,17574.0,0.1639163916391639,True,4242.0,2588.0,630079135.7142857,8.697293281555176
0.7,0.2,linear,2500.0,1000,10,15,7,24004,exact,0.14256854256854257,True,True,0,3,4406.0,17574.0,0.1639163916391639,True,2424.000000000002,4406.0,630079135.7142857,8.7196364402771
0.7,0.2,logarithmic,1000.0,1000,10,15,7,24004,exact,0.14256854256854257,True,True,0,0,0.0,0.0,0.0,True,0.0,0.0,20.2271901901251,8.701209545135498
0.7,0.2,logarithmic,1300.0,1000,10,15,7,24004,exact,0.14256854256854257,True,True,0,0,0.0,0.0,0.0,True,0.0,0.0,20.2271901901251,8.57259202003479
0.7,0.2,logarithmic,1600.0,1000,10,15,7,24004,exact,0.14256854256854257,True,True,0,1,0.0,5022.0,0.0,True,558.0,0.0,20.2271901901251,8.607560157775879
0.7,0.2,logarithmic,1900.0,1000,10,15,7,24004,exact,0.14256854256854257,True,True,0,2,967.0,8180.0,0.1821515892420538,True,409.0,967.0,20.2271901901251,8.564782857894897
